,,,TÊN SÁCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XBK + FORMA,Hộp chốt,Tổng bán FORMA,,,,,,,2024,2025,2026,2025,,,,,,,,,,,,2026,,,,,,,,,,,
,,,,SL IN,% BÁN/ IN,TỒN,% TỒN,TẶNG,Tổng 2024,Tổng 2025,Tổng 2026,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
224,,224,May,1500,"14,93%",1276,85%,,79,112,33,13,11,19,8,9,7,7,6,10,9,5,8,3,4,3,10,3,6,4,,,,,
300,,300,Nghĩ,2000,"15,00%",1700,85%,,101,154,45,23,31,19,11,2,6,9,13,12,13,7,8,4,2,4,17,2,9,7,,,,,
298,,298,Gentleman cắn thuốc phiện,1500,"19,87%",1202,80%,,85,150,63,16,23,13,11,13,12,11,11,13,17,6,4,10,5,11,14,12,4,7,,,,,
275,,275,Nghề sống,1000,"27,50%",725,73%,,85,149,41,16,17,15,23,14,7,9,12,10,12,8,6,4,7,6,7,2,8,7,,,,,
210,,210,Hành khúc Radetzky,1500,"14,00%",1290,86%,,86,99,25,12,19,8,8,4,7,1,6,8,9,8,9,5,7,0,6,1,1,5,,,,,
285,,285,Sa mạc tình yêu,500,"57,00%",215,43%,,,256,29,,,,158,22,13,12,7,11,18,7,8,3,4,2,8,4,3,5,,,,,
226,,226,"Job, tiểu thuyết về một người thuần hậu",700,"32,29%",474,68%,,,202,24,,,,145,10,8,14,3,6,9,1,6,1,2,1,5,5,5,5,,,,,
270,,270,Tristram Shandy,700,"38,57%",430,61%,,,222,48,,,,152,10,5,15,10,12,10,3,5,6,11,7,7,2,8,7,,,,,
275,,275,Một người tên là Thứ Năm,1200,"22,92%",925,77%,,,232,43,,,,,,,133,30,17,15,28,9,11,8,5,7,2,6,4,,,,,
235,,235,Washington Square,1200,"19,58%",965,80%,,,189,46,,,,,,,128,18,18,11,6,8,11,7,8,4,6,7,3,,,,,
348,,348,Lý thuyết tầng lớp nhàn rỗi,1200,"29,00%",852,71%,,,247,101,,,,,,,136,36,28,6,14,27,30,7,7,18,9,21,9,,,,,
249,,249,Những nỗi hoảng hốt của cậu học sinh Torless,1200,"20,75%",951,79%,,,206,43,,,,,,,125,19,27,21,5,9,9,10,3,7,7,4,3,,,,,
