,TT,TÊN SÁCH,Giá Bìa,VAT,TÁC GIẢ,KHỔ SÁCH,THỂ LOẠI,SỐ TRANG,NĂM XB,NXB,TÌNH TRẠNG,YÊU CẦU VAT
FORMApubli,H61,Gentleman cắn thuốc phiện,69500,"66.190,48",Thomas De Quincey,120 x 185mm,Tiểu luận - phê bình,144,2024,NXB Thanh Niên,,có
FORMApubli,H62,Nghề sống,133000,"126.666,67",Cesare Pavese,129 x 200mm,Tiểu luận - phê bình,448,2024,NXB Thanh Niên,,có
FORMApubli,H63,Hành khúc Radetzky,155000,"147.619,05",Joseph Roth,129 x 200mm,Tiểu thuyết,400,2024,NXB Thanh Niên,,có
FORMApubli,H64,Sa mạc tình yêu,95000,"90.476,19",Francois Mauriac,120 x 185mm,Tiểu thuyết,176,2025,NXB Hà Nội,,có
FORMApubli,H65,"Job, tiểu thuyết về một người thuần hậu",110000,"104.761,90",Joseph Roth,115 x 180mm,Tiểu thuyết,248,2025,NXB Hà Nội,,có
FORMApubli,H66,Tristram Shandy,250000,"238.095,24",Laurence Sterne,129 x 200mm,Tiểu thuyết,672,2025,NXB Hà Nội,,có
FORMApubli,H67,Một người tên là Thứ Năm,141000,"134.285,71",Chesterton,123 x 190 mm,Trinh thám,272,2025,NXB Lao động,,có
FORMApubli,H68,Washington Square,141000,"134.285,71",Henry James,115 x 180 mm,Tiểu thuyết,272,2025,NXB Lao động,,có
FORMApubli,H69,Lý thuyết tầng lớp nhàn rỗi,215000,"204.761,90",Thorstein Veblen,128 x 190 nn,Tiểu luận ,416,2025,NXB Lao động,,có
FORMApubli,H70,Những nỗi hoảng hốt của cậu học sinh Torless,138000,"131.428,57",Robert Musil,126 x 190 mm,Tiểu thuyết,264,2025,NXB Lao động,,có
FORMApubli,H71,Không có vua (tái bản),106000,"100.952,38",Cao Việt Dũng,125 x 190 mm,"Văn học Việt Nam, phê bình",112,2025,NXB Lao động,,có
FORMApubli,H71,Ông cha đạo ở Wakefield,146000,139048,Oliver Goldsmith,125 x 190 mm,Tiểu thuyết,272,2025,NXB Lao động,,có
FORMApubli,H72,Người phụ tá,158000,150476,Robert Walser,125 x 190 mm,Tiểu thuyết,280,2025,NXB Lao động,,có
FORMApubli,H73,Tay điệp viên,202000,192381,Joseph Conrad ,126 x 190 mm,Tiểu thuyết,384,2025,NXB Lao động,,có
FORMApubli,H74,Tên mọi trên tàu Narcissus,133000,126667,Joseph Conrad ,120 x 185 mm,Tiểu thuyết,240,2025,NXB Lao động,,có
FORMApubli,H75,Khác thời đại,132000,"125.714,29",Công Hiện,120 x 185 mm,Tiểu luận,224,2026,NXB Lao động,,có
FORMApubli,H76,Anh em Tanner,166000,"158.095,24",Robert Walser,125 x 190 mm,Tiểu thuyết,304,2026,NXB Lao động,,có
FORMApubli,H77,Nhà xứ cũ,355000,"338.095,24",Nathaniel Hawthorne,126 x 19 mm,Tiểu thuyết,224,2026,NXB Lao động,,có
FORMApubli,H78,Jakob von Gunten,111000,"105.714,29",Robert Walser,125 x 190 mm,Tiểu thuyết,208,2026,NXB Lao động,NEW,có
FORMApubli,H79,Đốt kho,133000,"126.666,67",William Faulkner,120 x 190 mm,Truyện ngắn,272,2026,NXB Lao động,NEW,có
